id,name,email,status,species,gender,origin_name,location_name,episode_count
1,Rick Sanchez,rick.sanchez@krom.id,Alive,Human,Male,Earth (C-137),Citadel of Ricks,51
2,Morty Smith,morty.smith@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,51
3,Summer Smith,summer.smith@krom.id,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),42
4,Beth Smith,beth.smith@krom.id,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),42
5,Jerry Smith,jerry.smith@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),39
6,Abadango Cluster Princess,abadango.princess@krom.id,Alive,Alien,Female,Abadango,Abadango,1
7,Abradolf Lincler,abradolf.lincler@krom.id,unknown,Human,Male,Earth (Replacement Dimension),Testicle Monster Dimension,2
8,Adjudicator Rick,adjudicator.rick@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
9,Agency Director,agency.director@krom.id,Dead,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
10,Alan Rails,alan.rails@krom.id,Dead,Human,Male,unknown,Worldender's lair,1
11,Albert Einstein,albert.einstein@krom.id,Dead,Human,Male,Earth (C-137),Earth (Replacement Dimension),1
12,Alexander,alexander.alexander@krom.id,Dead,Human,Male,Earth (C-137),Anatomy Park,1
13,Alien Googah,alien.googah@krom.id,unknown,Alien,unknown,unknown,Earth (Replacement Dimension),1
14,Alien Morty,alien.morty@krom.id,unknown,Alien,Male,unknown,Citadel of Ricks,1
15,Alien Rick,alien.rick@krom.id,unknown,Alien,Male,unknown,Citadel of Ricks,1
16,Amish Cyborg,amish.cyborg@krom.id,Dead,Alien,Male,unknown,Earth (Replacement Dimension),1
17,Annie,annie.annie@krom.id,Alive,Human,Female,Earth (C-137),Anatomy Park,1
18,Antenna Morty,antenna.morty@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,2
19,Antenna Rick,antenna.rick@krom.id,unknown,Human,Male,unknown,unknown,1
20,Ants in my Eyes Johnson,ants.johnson@krom.id,unknown,Human,Male,unknown,Interdimensional Cable,1
21,Aqua Morty,aqua.morty@krom.id,unknown,Humanoid,Male,unknown,Citadel of Ricks,2
22,Aqua Rick,aqua.rick@krom.id,unknown,Humanoid,Male,unknown,Citadel of Ricks,3
23,Arcade Alien,arcade.alien@krom.id,unknown,Alien,Male,unknown,Immortality Field Resort,5
24,Armagheadon,armagheadon.armagheadon@krom.id,Alive,Alien,Male,Signus 5 Expanse,Signus 5 Expanse,1
25,Armothy,armothy.armothy@krom.id,Dead,unknown,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,1
26,Arthricia,arthricia.arthricia@krom.id,Alive,Alien,Female,Purge Planet,Purge Planet,1
27,Artist Morty,artist.morty@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,2
28,Attila Starwar,attila.starwar@krom.id,Alive,Human,Male,unknown,Interdimensional Cable,3
29,Baby Legs,baby.legs@krom.id,Alive,Human,Male,unknown,Interdimensional Cable,1
30,Baby Poopybutthole,baby.poopybutthole@krom.id,Alive,Poopybutthole,Male,unknown,unknown,1
31,Baby Wizard,baby.wizard@krom.id,Dead,Alien,Male,unknown,Earth (Replacement Dimension),1
32,Bearded Lady,bearded.lady@krom.id,Dead,Alien,Female,unknown,Earth (Replacement Dimension),1
33,Beebo,beebo.beebo@krom.id,Dead,Alien,Male,Venzenulon 7,Venzenulon 7,1
34,Benjamin,benjamin.benjamin@krom.id,Alive,Poopybutthole,Male,unknown,Interdimensional Cable,3
35,Bepisian,bepisian.bepisian@krom.id,Alive,Alien,unknown,Bepis 9,Bepis 9,4
36,Beta-Seven,beta-seven.beta-seven@krom.id,Alive,Alien,unknown,unknown,unknown,1
37,Beth Sanchez,beth.sanchez@krom.id,Alive,Human,Female,Earth (C-500A),Earth (C-500A),1
38,Beth Smith,beth.smith@krom.id,Alive,Human,Female,Earth (C-137),Earth (C-137),8
39,Beth Smith,beth.smith@krom.id,Alive,Human,Female,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension),1
40,Beth's Mytholog,beth's.mytholog@krom.id,Dead,Mythological Creature,Female,Nuptia 4,Nuptia 4,1
41,Big Boobed Waitress,big.waitress@krom.id,Alive,Mythological Creature,Female,Fantasy World,Fantasy World,1
42,Big Head Morty,big.morty@krom.id,unknown,Human,Male,unknown,Citadel of Ricks,1
43,Big Morty,big.morty@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
44,Body Guard Morty,body.morty@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
45,Bill,bill.bill@krom.id,Alive,Human,Male,Earth (C-137),Earth (C-137),1
46,Bill,bill.bill@krom.id,unknown,Animal,Male,Earth (Replacement Dimension),unknown,1
47,Birdperson,birdperson.birdperson@krom.id,Alive,Alien,Male,Bird World,Planet Squanch,7
